movie_id	title	rating	votes	gross	countries
2036152	"Above the Rim"	6.6	8089	"$16,036,534 (USA)"	USA
2036219	"Abraham Lincoln: Vampire Hunter"	6.0	110179	"$37,519,139 (USA)"	USA
2036404	"Absence of Malice"	6.9	7979	"$40,716,963 (USA)"	USA
2037017	Accepted	6.5	93471	"$36,323,505 (USA)"	USA
2037331	"Ace Ventura: Pet Detective"	6.9	170314	"$72,217,000 (USA)"	USA
2037333	"Ace Ventura: When Nature Calls"	6.2	127292	"$108,385,533 (USA)"	USA
2037378	"Aces: Iron Eagle III"	3.3	2134	"$2,517,600 (USA)"	USA
2038070	"Act of Valor"	6.5	50975	"$70,012,847 (USA)"	USA
2038246	"Action Jackson"	5.1	6548	"$20,257,000 (USA)"	USA
2038998	"Addams Family Values"	6.5	46139	"$48,919,043 (USA)"	USA
2040340	"Adventures in Babysitting"	6.8	23496	"$34,368,475 (USA)"	USA
2041059	Afflicted	6.3	8846	"$121,179 (USA)"	USA
2041726	"After Dark, My Sweet"	6.6	2154	"$2,678,414 (USA)"	USA
2041746	"After Earth"	5.0	129617	"$60,522,097 (USA)"	USA
2041790	"After Hours"	7.7	32151	"$10,600,000 (USA)"	USA
2042614	"Against All Odds"	5.8	6980	"$21,700,000 (USA)"	USA
2042614	"Against All Odds"	5.8	6980	"$25,100,000 (USA)"	USA
2044751	"Air America"	5.6	18877	"$31,053,601 (USA)"	USA
2044793	"Air Force One"	6.4	124859	"$172,956,409 (USA)"	USA
2044921	Airborne	6.1	4599	"$2,850,263 (USA)"	USA
2044983	Airheads	6.0	32776	"$5,370,000 (USA)"	USA
2045017	"Airplane II: The Sequel"	6.0	28999	"$27,150,534 (USA)"	USA
2045028	"Airport '77"	5.5	5984	"$30,000,000 (USA)"	USA
2045033	"Airport 1975"	5.4	6028	"$47,285,152 (USA)"	USA
2047053	Aladdin	8.0	196582	"$217,350,219 (USA)"	USA
2048143	"Alex Cross"	5.1	24099	"$25,888,412 (USA)"	USA
2048687	Ali	6.7	68303	"$58,203,105 (USA)"	USA
2048960	Alice	6.6	8855	"$7,331,647 (USA)"	USA
